StatNam;StatNr;praef;Fangradius;DEN;WTC;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Rodgau;205;1000;1000;E;L;1;3;33%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;16.5415455935082s
Rodgau;205;1000;1000;E;M;83;296;28%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;31.2581929754305s
Rodgau;205;1000;1000;E;NA;6;18;33%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;22.4054611369879s
Rodgau;205;1000;1000;N;H;121;349;35%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;34.8250590815148s
Rodgau;205;1000;1000;N;M;157;718;22%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;32.5892906721549s
Rodgau;205;1000;1000;N;NA;13;45;29%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;24.0515692501739s
Rodgau;205;1000;1500;D;H;292;420;70%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;36.3443290586708s
Rodgau;205;1000;1500;D;L;1;7;14%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;1500;D;M;322;1128;29%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;31.2678331322267s
Rodgau;205;1000;1500;D;NA;16;22;73%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;22.8393070795587s
Rodgau;205;1000;1500;E;H;116;185;63%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;37.843622426543s
Rodgau;205;1000;1500;E;L;1;3;33%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;16.5415455935082s
Rodgau;205;1000;1500;E;M;94;387;24%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;31.5381218553531s
Rodgau;205;1000;1500;E;NA;6;21;29%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;22.4054611369879s
Rodgau;205;1000;1500;N;H;125;368;34%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;34.8906679901079s
Rodgau;205;1000;1500;N;L;0;2;0%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;-Infs (~-Inf years)
Rodgau;205;1000;1500;N;M;175;946;18%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;32.7835326842716s
Rodgau;205;1000;1500;N;NA;13;53;25%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;24.0515692501739s
Rodgau;205;1000;2000;D;H;292;423;69%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;36.3443290586708s
Rodgau;205;1000;2000;D;L;1;7;14%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;2000;D;M;329;1279;26%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;31.5454380867589s
Rodgau;205;1000;2000;D;NA;17;24;71%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;22.9974163950943s
Rodgau;205;1000;2000;E;H;116;190;61%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;37.843622426543s
Rodgau;205;1000;2000;E;L;1;4;25%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;16.5415455935082s
Rodgau;205;1000;2000;E;M;95;435;22%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;31.5819681126251s
Rodgau;205;1000;2000;E;NA;6;24;25%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;22.4054611369879s
Rodgau;205;1000;2000;N;H;125;372;34%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;34.8906679901079s
Rodgau;205;1000;2000;N;L;0;7;0%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;-Infs (~-Inf years)
Rodgau;205;1000;2000;N;M;181;1126;16%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;32.811938157269s
Rodgau;205;1000;2000;N;NA;13;57;23%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;24.0515692501739s
Rodgau;205;1000;2500;D;H;293;427;69%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;36.3468251467127s
Rodgau;205;1000;2500;D;L;1;7;14%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;2500;D;M;331;1326;25%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;31.5541399179291s
Rodgau;205;1000;2500;D;NA;17;24;71%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;22.9974163950943s
Rodgau;205;1000;2500;E;H;117;192;61%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;37.8536241868862s
Rodgau;205;1000;2500;E;L;1;4;25%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;16.5415455935082s
Rodgau;205;1000;2500;E;M;97;450;22%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;31.7802746949335s
Rodgau;205;1000;2500;E;NA;6;24;25%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;22.4054611369879s
Rodgau;205;1000;2500;N;H;125;375;33%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;34.8906679901079s
