StatNam;StatNr;praef;Fangradius;DEN;Gewichtsklasse;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Hanau/Steinheim 1;72;2500;4000;D;heavy;3866;5335;72%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.4345729949617s
Hanau/Steinheim 1;72;2500;4000;D;nicht heavy;9637;15625;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;48.6109991254634s
Hanau/Steinheim 1;72;2500;4000;E;Alle Gewichtsklassen;5022;7265;69%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;49.9846381546653s
Hanau/Steinheim 1;72;2500;4000;E;heavy;554;721;77%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;43.7821420204881s
Hanau/Steinheim 1;72;2500;4000;E;nicht heavy;4468;6544;68%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.7942283940352s
Hanau/Steinheim 1;72;2500;4000;N;Alle Gewichtsklassen;1005;1638;61%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;41.3040110786611s
Hanau/Steinheim 1;72;2500;4000;N;heavy;398;663;60%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;39.2788052861875s
Hanau/Steinheim 1;72;2500;4000;N;nicht heavy;607;975;62%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;37.0175354382074s
Rodgau;205;1000;500;D;Alle Gewichtsklassen;17;77;22%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;22.8079647979957s
Rodgau;205;1000;500;D;heavy;5;8;62%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;19.8502664359969s
Rodgau;205;1000;500;D;nicht heavy;12;69;17%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;19.744418318728s
Rodgau;205;1000;500;E;Alle Gewichtsklassen;17;31;55%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;25.1079414751036s
Rodgau;205;1000;500;E;heavy;1;3;33%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;12.9184968055919s
Rodgau;205;1000;500;E;nicht heavy;16;28;57%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;24.8373596028917s
Rodgau;205;1000;500;N;Alle Gewichtsklassen;97;118;82%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;31.5479261040365s
Rodgau;205;1000;500;N;heavy;3;4;75%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;17.0746884167757s
Rodgau;205;1000;500;N;nicht heavy;94;114;82%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;31.3900448042754s
Rodgau;205;1000;1000;D;Alle Gewichtsklassen;689;1720;40%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;38.5684792705013s
Rodgau;205;1000;1000;D;heavy;356;530;67%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;37.4363687661252s
Rodgau;205;1000;1000;D;nicht heavy;333;1190;28%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;32.1757586663038s
Rodgau;205;1000;1000;E;Alle Gewichtsklassen;206;685;30%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;38.8700981442771s
Rodgau;205;1000;1000;E;heavy;123;309;40%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;37.8480423691219s
Rodgau;205;1000;1000;E;nicht heavy;83;376;22%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;32.085990470449s
Rodgau;205;1000;1000;N;Alle Gewichtsklassen;164;465;35%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;34.4181290673116s
Rodgau;205;1000;1000;N;heavy;42;92;46%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;30.5811140678005s
Rodgau;205;1000;1000;N;nicht heavy;122;373;33%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;32.1020567987059s
Rodgau;205;1000;1500;D;Alle Gewichtsklassen;765;2172;35%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;38.7660583563048s
Rodgau;205;1000;1500;D;heavy;364;554;66%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;37.5291132159433s
Rodgau;205;1000;1500;D;nicht heavy;401;1618;25%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;32.7079164488561s
Rodgau;205;1000;1500;E;Alle Gewichtsklassen;217;792;27%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;38.9618915388091s
Rodgau;205;1000;1500;E;heavy;124;320;39%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;37.8770411013363s
Rodgau;205;1000;1500;E;nicht heavy;93;472;20%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;32.4066073322952s
Rodgau;205;1000;1500;N;Alle Gewichtsklassen;179;578;31%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;34.5230250282492s
Rodgau;205;1000;1500;N;heavy;45;99;45%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;30.6800022464155s
Rodgau;205;1000;1500;N;nicht heavy;134;479;28%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;32.2111804985341s
Rodgau;205;1000;2000;D;Alle Gewichtsklassen;774;2454;32%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;38.8241900773724s
Rodgau;205;1000;2000;D;heavy;364;561;65%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;37.5291132159433s
Rodgau;205;1000;2000;D;nicht heavy;410;1893;22%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;32.9378435301654s
Rodgau;205;1000;2000;E;Alle Gewichtsklassen;218;839;26%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;38.9647643110224s
Rodgau;205;1000;2000;E;heavy;124;323;38%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;37.8770411013363s
Rodgau;205;1000;2000;E;nicht heavy;94;516;18%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;32.4195888067548s
Rodgau;205;1000;2000;N;Alle Gewichtsklassen;184;655;28%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;34.5383056121462s
Rodgau;205;1000;2000;N;heavy;45;101;45%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;30.6800022464155s
Rodgau;205;1000;2000;N;nicht heavy;139;554;25%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;32.2371694381991s
Rodgau;205;1000;2500;D;Alle Gewichtsklassen;778;2566;30%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;38.8297840668144s
Rodgau;205;1000;2500;D;heavy;365;565;65%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;37.5310341186428s
Rodgau;205;1000;2500;D;nicht heavy;413;2001;21%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;32.9539922384491s
Rodgau;205;1000;2500;E;Alle Gewichtsklassen;220;860;26%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;39.0025594812602s
